Step,State_Code,State_Name,Duration_Days,Total_Time
149,3,Пасмурно (3),1.0186,283.2238
150,1,Ясно (1),0.9476,284.1714
151,2,Облачно (2),1.1058,285.2772
152,1,Ясно (1),0.9824,286.2596
153,2,Облачно (2),0.2758,286.5354
154,3,Пасмурно (3),1.9368,288.4722
155,2,Облачно (2),1.0914,289.5636
156,3,Пасмурно (3),0.4242,289.9878
157,2,Облачно (2),0.0743,290.0621
158,3,Пасмурно (3),1.1322,291.1942
159,2,Облачно (2),0.6355,291.8298
160,3,Пасмурно (3),0.0432,291.873
161,2,Облачно (2),0.6817,292.5547
162,1,Ясно (1),1.4018,293.9565
163,2,Облачно (2),0.4068,294.3633
164,1,Ясно (1),0.2745,294.6377
165,2,Облачно (2),7.8443,302.4821
166,3,Пасмурно (3),0.9558,303.4379
167,2,Облачно (2),1.1985,304.6364
168,3,Пасмурно (3),1.5008,306.1373
169,1,Ясно (1),3.2041,309.3414
170,2,Облачно (2),0.9625,310.3039
171,3,Пасмурно (3),1.5355,311.8393
172,2,Облачно (2),0.271,312.1104
173,1,Ясно (1),1.5579,313.6682
174,2,Облачно (2),1.8515,315.5198
175,3,Пасмурно (3),0.1326,315.6524
176,1,Ясно (1),0.1038,315.7562
177,2,Облачно (2),2.1108,317.8671
178,1,Ясно (1),0.3506,318.2177
179,3,Пасмурно (3),5.687,323.9047
180,2,Облачно (2),0.2456,324.1503
181,1,Ясно (1),5.3193,329.4696
182,3,Пасмурно (3),0.3768,329.8465
183,2,Облачно (2),0.5872,330.4336
184,1,Ясно (1),0.1537,330.5874
185,3,Пасмурно (3),2.5769,333.1643
186,2,Облачно (2),0.1893,333.3536
187,3,Пасмурно (3),4.9633,338.3169
188,2,Облачно (2),0.1774,338.4943
189,3,Пасмурно (3),1.8947,340.389
190,1,Ясно (1),0.5585,340.9476
191,2,Облачно (2),0.1497,341.0973
192,3,Пасмурно (3),0.9627,342.06
193,1,Ясно (1),0.6364,342.6964
194,2,Облачно (2),0.0886,342.785
195,1,Ясно (1),2.4511,345.2361
196,2,Облачно (2),1.7569,346.993
197,3,Пасмурно (3),0.6484,347.6415
198,1,Ясно (1),0.3173,347.9588
199,3,Пасмурно (3),6.5737,354.5325
