Step,State_Code,State_Name,Duration_Days,Total_Time
643,3,Пасмурно (3),0.5928,1129.822
644,2,Облачно (2),0.3527,1130.1747
645,3,Пасмурно (3),4.4407,1134.6154
646,2,Облачно (2),0.0349,1134.6502
647,1,Ясно (1),0.9283,1135.5785
648,2,Облачно (2),0.4031,1135.9816
649,3,Пасмурно (3),0.8284,1136.81
650,2,Облачно (2),1.0903,1137.9003
651,1,Ясно (1),2.1255,1140.0257
652,2,Облачно (2),3.335,1143.3608
653,3,Пасмурно (3),1.5458,1144.9066
654,2,Облачно (2),1.7238,1146.6304
655,1,Ясно (1),2.6776,1149.308
656,3,Пасмурно (3),0.4655,1149.7735
657,1,Ясно (1),1.6779,1151.4514
658,2,Облачно (2),0.1479,1151.5993
659,3,Пасмурно (3),1.4098,1153.0091
660,2,Облачно (2),1.7904,1154.7995
661,3,Пасмурно (3),0.4401,1155.2396
662,1,Ясно (1),0.0817,1155.3212
663,2,Облачно (2),0.1353,1155.4565
664,1,Ясно (1),1.6642,1157.1207
665,2,Облачно (2),0.1601,1157.2808
666,3,Пасмурно (3),0.9429,1158.2237
667,1,Ясно (1),0.4624,1158.6861
668,2,Облачно (2),0.2373,1158.9234
669,3,Пасмурно (3),2.8976,1161.821
670,2,Облачно (2),1.0172,1162.8382
671,1,Ясно (1),1.4975,1164.3358
672,2,Облачно (2),0.0141,1164.3499
673,3,Пасмурно (3),1.5965,1165.9463
674,2,Облачно (2),0.7553,1166.7016
675,3,Пасмурно (3),7.3122,1174.0138
676,2,Облачно (2),0.331,1174.3448
677,1,Ясно (1),0.3225,1174.6672
678,3,Пасмурно (3),11.3917,1186.0589
679,2,Облачно (2),1.8512,1187.9101
680,1,Ясно (1),2.5937,1190.5038
681,3,Пасмурно (3),1.4344,1191.9382
682,2,Облачно (2),1.5855,1193.5236
683,3,Пасмурно (3),0.4926,1194.0163
684,2,Облачно (2),1.0927,1195.109
685,1,Ясно (1),2.5009,1197.6099
686,2,Облачно (2),0.1098,1197.7197
687,3,Пасмурно (3),0.0972,1197.8169
688,2,Облачно (2),3.5435,1201.3604
689,3,Пасмурно (3),2.2163,1203.5767
690,2,Облачно (2),0.8755,1204.4521
691,3,Пасмурно (3),1.7128,1206.165
692,2,Облачно (2),3.2135,1209.3785
693,3,Пасмурно (3),0.5434,1209.9219
694,1,Ясно (1),0.2459,1210.1678
695,2,Облачно (2),0.8726,1211.0404
696,1,Ясно (1),3.8179,1214.8584
697,2,Облачно (2),0.3084,1215.1668
698,1,Ясно (1),1.4336,1216.6004
699,3,Пасмурно (3),0.3691,1216.9695
700,1,Ясно (1),1.4479,1218.4174
701,3,Пасмурно (3),2.0048,1220.4222
702,2,Облачно (2),4.9201,1225.3423
703,3,Пасмурно (3),8.7879,1234.1302
704,2,Облачно (2),1.1513,1235.2815
705,3,Пасмурно (3),0.46,1235.7415
706,1,Ясно (1),1.8926,1237.6342
707,2,Облачно (2),0.0155,1237.6497
708,1,Ясно (1),3.7366,1241.3863
709,3,Пасмурно (3),7.0236,1248.4099
710,2,Облачно (2),0.1345,1248.5444
711,1,Ясно (1),1.8204,1250.3648
712,3,Пасмурно (3),1.897,1252.2617
713,2,Облачно (2),0.8549,1253.1167
714,3,Пасмурно (3),2.4147,1255.5313
715,2,Облачно (2),0.3162,1255.8475
716,3,Пасмурно (3),0.5663,1256.4139
717,2,Облачно (2),3.2671,1259.681
718,3,Пасмурно (3),3.8945,1263.5755
719,1,Ясно (1),1.362,1264.9375
720,3,Пасмурно (3),0.0122,1264.9497
721,2,Облачно (2),2.7971,1267.7468
722,1,Ясно (1),0.1496,1267.8964
723,2,Облачно (2),0.73,1268.6265
724,3,Пасмурно (3),7.9299,1276.5563
725,1,Ясно (1),0.5645,1277.1208
726,3,Пасмурно (3),4.9813,1282.1021
727,1,Ясно (1),0.8862,1282.9883
728,3,Пасмурно (3),1.641,1284.6293
729,2,Облачно (2),1.3518,1285.9811
730,3,Пасмурно (3),1.6826,1287.6637
731,2,Облачно (2),0.6522,1288.3159
732,3,Пасмурно (3),2.1475,1290.4634
733,1,Ясно (1),1.9285,1292.3919
734,2,Облачно (2),12.1212,1304.5131
735,3,Пасмурно (3),6.2034,1310.7164
736,2,Облачно (2),0.2072,1310.9237
737,1,Ясно (1),0.3589,1311.2826
738,2,Облачно (2),0.1974,1311.4801
739,3,Пасмурно (3),8.7763,1320.2564
740,2,Облачно (2),1.8124,1322.0688
741,3,Пасмурно (3),1.7547,1323.8234
742,1,Ясно (1),3.4609,1327.2844
743,2,Облачно (2),2.8705,1330.1548
744,1,Ясно (1),3.7913,1333.9461
745,3,Пасмурно (3),3.4387,1337.3848
746,2,Облачно (2),0.7957,1338.1805
747,1,Ясно (1),4.1656,1342.3461
748,2,Облачно (2),1.7214,1344.0675
749,3,Пасмурно (3),1.574,1345.6415
750,2,Облачно (2),1.5221,1347.1635
751,3,Пасмурно (3),0.2549,1347.4184
752,2,Облачно (2),1.2035,1348.6219
753,3,Пасмурно (3),0.5278,1349.1498
754,1,Ясно (1),0.4184,1349.5682
755,2,Облачно (2),0.5611,1350.1293
756,3,Пасмурно (3),0.6679,1350.7971
757,2,Облачно (2),2.0664,1352.8636
758,1,Ясно (1),0.1338,1352.9974
759,3,Пасмурно (3),0.7307,1353.728
760,1,Ясно (1),0.7731,1354.5012
761,2,Облачно (2),1.198,1355.6992
762,3,Пасмурно (3),6.8015,1362.5007
763,2,Облачно (2),0.15,1362.6507
764,3,Пасмурно (3),0.6695,1363.3202
765,2,Облачно (2),1.1268,1364.447
766,3,Пасмурно (3),7.1357,1371.5827
767,2,Облачно (2),0.9059,1372.4886
768,1,Ясно (1),0.2158,1372.7044
769,2,Облачно (2),0.0805,1372.7849
770,3,Пасмурно (3),4.7818,1377.5667
771,1,Ясно (1),0.546,1378.1127
772,2,Облачно (2),0.5406,1378.6533
773,1,Ясно (1),4.3733,1383.0266
774,2,Облачно (2),0.4405,1383.4672
775,3,Пасмурно (3),2.148,1385.6151
776,1,Ясно (1),1.1551,1386.7703
777,2,Облачно (2),1.7264,1388.4967
778,1,Ясно (1),1.0238,1389.5205
779,2,Облачно (2),0.9323,1390.4528
780,3,Пасмурно (3),4.0228,1394.4756
781,2,Облачно (2),1.4262,1395.9019
782,3,Пасмурно (3),0.4186,1396.3205
783,2,Облачно (2),0.2586,1396.5791
784,3,Пасмурно (3),0.8795,1397.4586
785,2,Облачно (2),1.2658,1398.7245
786,3,Пасмурно (3),0.7049,1399.4293
787,2,Облачно (2),0.1753,1399.6047
788,3,Пасмурно (3),1.3141,1400.9187
789,2,Облачно (2),0.119,1401.0377
790,3,Пасмурно (3),6.4664,1407.5041
791,1,Ясно (1),1.458,1408.9621
792,2,Облачно (2),2.1332,1411.0953
793,1,Ясно (1),0.1368,1411.2321
794,2,Облачно (2),0.6211,1411.8532
795,3,Пасмурно (3),1.5219,1413.3751
796,2,Облачно (2),1.0206,1414.3957
797,3,Пасмурно (3),3.6304,1418.0261
798,2,Облачно (2),0.0985,1418.1246
799,3,Пасмурно (3),1.1305,1419.2551
800,2,Облачно (2),1.7001,1420.9552
801,1,Ясно (1),2.2354,1423.1907
802,3,Пасмурно (3),0.7483,1423.9389
803,2,Облачно (2),3.3887,1427.3277
804,1,Ясно (1),0.8929,1428.2206
805,3,Пасмурно (3),8.2554,1436.4759
806,2,Облачно (2),1.5988,1438.0747
807,3,Пасмурно (3),1.4968,1439.5715
808,1,Ясно (1),1.8615,1441.433
809,3,Пасмурно (3),0.1065,1441.5395
810,2,Облачно (2),7.6922,1449.2317
811,3,Пасмурно (3),6.7298,1455.9616
812,2,Облачно (2),0.721,1456.6826
813,1,Ясно (1),1.5048,1458.1874
814,2,Облачно (2),0.5915,1458.7789
815,3,Пасмурно (3),2.255,1461.0339
816,2,Облачно (2),0.2016,1461.2356
817,3,Пасмурно (3),2.2628,1463.4984
818,2,Облачно (2),1.4143,1464.9126
819,1,Ясно (1),1.5254,1466.438
820,3,Пасмурно (3),1.6403,1468.0783
821,1,Ясно (1),2.5847,1470.663
822,2,Облачно (2),1.008,1471.671
823,3,Пасмурно (3),8.1051,1479.7761
824,2,Облачно (2),0.4414,1480.2175
825,1,Ясно (1),0.5327,1480.7503
826,2,Облачно (2),1.93,1482.6803
827,1,Ясно (1),2.1806,1484.8609
828,2,Облачно (2),0.8362,1485.6971
829,1,Ясно (1),4.4957,1490.1928
830,2,Облачно (2),0.357,1490.5498
831,1,Ясно (1),0.0069,1490.5567
832,3,Пасмурно (3),1.6388,1492.1955
833,1,Ясно (1),2.7144,1494.9099
834,2,Облачно (2),1.9699,1496.8797
835,1,Ясно (1),0.1042,1496.984
836,2,Облачно (2),0.2642,1497.2482
837,3,Пасмурно (3),0.5999,1497.8481
838,2,Облачно (2),3.0616,1500.9097
839,3,Пасмурно (3),3.4491,1504.3587
840,2,Облачно (2),0.3697,1504.7284
841,1,Ясно (1),7.7168,1512.4452
842,2,Облачно (2),0.4145,1512.8598
843,3,Пасмурно (3),0.7983,1513.658
844,2,Облачно (2),0.6046,1514.2626
845,3,Пасмурно (3),0.0459,1514.3086
846,2,Облачно (2),1.1142,1515.4227
847,3,Пасмурно (3),0.1253,1515.5481
848,2,Облачно (2),0.7793,1516.3273
849,1,Ясно (1),5.6437,1521.9711
850,2,Облачно (2),1.6795,1523.6505
851,1,Ясно (1),0.4509,1524.1014
852,2,Облачно (2),0.03,1524.1315
853,3,Пасмурно (3),0.9488,1525.0803
854,2,Облачно (2),4.8557,1529.936
855,1,Ясно (1),0.7915,1530.7275
856,2,Облачно (2),0.1312,1530.8587
857,1,Ясно (1),0.8422,1531.7009
858,2,Облачно (2),6.217,1537.9179
859,3,Пасмурно (3),0.8381,1538.756
860,2,Облачно (2),0.0041,1538.7601
861,1,Ясно (1),0.0513,1538.8114
862,3,Пасмурно (3),4.3792,1543.1907
863,1,Ясно (1),1.1126,1544.3032
864,2,Облачно (2),2.4083,1546.7116
865,3,Пасмурно (3),2.2658,1548.9774
866,2,Облачно (2),5.5786,1554.556
867,3,Пасмурно (3),10.5807,1565.1367
868,1,Ясно (1),0.1841,1565.3208
869,2,Облачно (2),2.18,1567.5008
870,1,Ясно (1),1.6509,1569.1517
871,3,Пасмурно (3),0.1086,1569.2602
872,2,Облачно (2),1.6782,1570.9385
873,1,Ясно (1),1.5486,1572.4871
874,3,Пасмурно (3),3.7308,1576.2179
875,2,Облачно (2),0.5748,1576.7927
876,3,Пасмурно (3),3.4996,1580.2924
877,2,Облачно (2),2.5498,1582.8421
878,1,Ясно (1),1.9515,1584.7936
879,2,Облачно (2),0.0619,1584.8555
880,3,Пасмурно (3),9.0463,1593.9019
881,1,Ясно (1),0.4,1594.3019
882,3,Пасмурно (3),1.2464,1595.5483
883,2,Облачно (2),0.8267,1596.375
884,3,Пасмурно (3),1.2389,1597.6139
885,2,Облачно (2),0.684,1598.2979
886,1,Ясно (1),0.6025,1598.9003
887,2,Облачно (2),1.8125,1600.7128
888,3,Пасмурно (3),0.2201,1600.9329
889,1,Ясно (1),0.8578,1601.7907
890,2,Облачно (2),1.8243,1603.6151
891,1,Ясно (1),2.2196,1605.8347
892,3,Пасмурно (3),2.7087,1608.5433
893,2,Облачно (2),0.8639,1609.4072
894,3,Пасмурно (3),1.6808,1611.088
895,2,Облачно (2),0.0771,1611.1651
896,3,Пасмурно (3),1.8976,1613.0626
897,2,Облачно (2),0.0944,1613.157
898,3,Пасмурно (3),0.5534,1613.7104
899,1,Ясно (1),1.2583,1614.9687
900,3,Пасмурно (3),1.2777,1616.2464
901,2,Облачно (2),1.8233,1618.0697
902,3,Пасмурно (3),1.0105,1619.0802
903,2,Облачно (2),0.0065,1619.0867
904,3,Пасмурно (3),0.0148,1619.1015
905,1,Ясно (1),0.8203,1619.9218
906,3,Пасмурно (3),0.5062,1620.428
907,2,Облачно (2),0.5698,1620.9978
908,1,Ясно (1),0.5419,1621.5397
909,2,Облачно (2),0.2384,1621.7781
910,3,Пасмурно (3),0.0409,1621.8191
911,2,Облачно (2),0.1832,1622.0023
912,1,Ясно (1),6.1166,1628.1189
913,2,Облачно (2),3.9728,1632.0918
914,1,Ясно (1),2.2545,1634.3463
915,2,Облачно (2),0.0453,1634.3916
916,3,Пасмурно (3),1.4313,1635.8229
917,2,Облачно (2),0.5046,1636.3275
918,1,Ясно (1),1.9033,1638.2308
919,2,Облачно (2),0.2062,1638.437
920,1,Ясно (1),0.5052,1638.9421
921,2,Облачно (2),2.231,1641.1731
922,1,Ясно (1),0.6273,1641.8005
923,2,Облачно (2),0.3413,1642.1418
924,3,Пасмурно (3),2.6476,1644.7893
925,2,Облачно (2),0.732,1645.5214
926,1,Ясно (1),1.1095,1646.6309
927,2,Облачно (2),0.4175,1647.0484
928,3,Пасмурно (3),3.562,1650.6104
929,2,Облачно (2),1.4082,1652.0185
930,3,Пасмурно (3),0.8978,1652.9164
931,2,Облачно (2),0.7153,1653.6317
932,1,Ясно (1),2.2246,1655.8563
933,3,Пасмурно (3),2.3439,1658.2002
934,2,Облачно (2),0.0028,1658.2029
935,3,Пасмурно (3),1.8051,1660.008
936,2,Облачно (2),3.6244,1663.6323
937,3,Пасмурно (3),6.4317,1670.0641
938,1,Ясно (1),3.1069,1673.171
939,3,Пасмурно (3),4.0857,1677.2566
940,2,Облачно (2),3.8131,1681.0697
941,3,Пасмурно (3),7.7788,1688.8485
942,2,Облачно (2),3.2933,1692.1418
943,1,Ясно (1),3.1269,1695.2687
944,3,Пасмурно (3),7.0693,1702.338
945,2,Облачно (2),2.7383,1705.0763
946,1,Ясно (1),0.749,1705.8254
947,2,Облачно (2),0.7276,1706.553
948,3,Пасмурно (3),6.1494,1712.7024
949,1,Ясно (1),1.908,1714.6104
950,2,Облачно (2),1.023,1715.6334
951,3,Пасмурно (3),1.5089,1717.1423
952,1,Ясно (1),0.7471,1717.8894
953,2,Облачно (2),1.0225,1718.9119
954,3,Пасмурно (3),1.1485,1720.0604
955,2,Облачно (2),1.0918,1721.1522
956,3,Пасмурно (3),0.4704,1721.6226
957,1,Ясно (1),1.0687,1722.6913
958,2,Облачно (2),0.3504,1723.0417
959,1,Ясно (1),0.1768,1723.2185
960,3,Пасмурно (3),2.0279,1725.2464
961,2,Облачно (2),0.431,1725.6774
962,1,Ясно (1),5.1035,1730.7809
963,2,Облачно (2),2.0846,1732.8655
964,1,Ясно (1),0.9966,1733.8622
965,3,Пасмурно (3),1.36,1735.2222
966,2,Облачно (2),1.1932,1736.4154
967,3,Пасмурно (3),0.0768,1736.4922
968,2,Облачно (2),0.4832,1736.9754
969,1,Ясно (1),0.5292,1737.5047
970,3,Пасмурно (3),0.4455,1737.9502
971,2,Облачно (2),0.1,1738.0502
972,1,Ясно (1),0.2705,1738.3207
973,2,Облачно (2),2.8302,1741.1509
974,3,Пасмурно (3),2.5513,1743.7022
975,1,Ясно (1),0.2779,1743.9801
976,2,Облачно (2),0.1294,1744.1095
977,3,Пасмурно (3),2.27,1746.3795
978,2,Облачно (2),0.2937,1746.6733
979,1,Ясно (1),0.3033,1746.9766
980,3,Пасмурно (3),1.5951,1748.5717
981,2,Облачно (2),3.2569,1751.8286
982,3,Пасмурно (3),6.6449,1758.4735
983,2,Облачно (2),0.807,1759.2804
984,3,Пасмурно (3),5.4833,1764.7638
985,1,Ясно (1),4.3933,1769.1571
986,3,Пасмурно (3),2.6872,1771.8443
987,1,Ясно (1),0.5739,1772.4182
988,3,Пасмурно (3),1.6702,1774.0883
989,2,Облачно (2),1.2048,1775.2931
990,1,Ясно (1),1.0717,1776.3649
991,3,Пасмурно (3),0.2967,1776.6615
992,2,Облачно (2),2.1833,1778.8449
993,1,Ясно (1),3.1364,1781.9812
994,2,Облачно (2),1.4191,1783.4003
995,3,Пасмурно (3),0.8109,1784.2111
996,2,Облачно (2),0.2403,1784.4515
997,3,Пасмурно (3),1.8427,1786.2942
998,2,Облачно (2),1.9993,1788.2935
999,3,Пасмурно (3),1.0724,1789.3659
1000,2,Облачно (2),0.7919,1790.1578
